iso3,variable,abs_shap,sign,iso2,policy,shap_value,shap_value_normalized
BLR,Workplace closing,0.016004273785303,1,BY,workplace_closing,0.016004273785303,0.0
BLR,Public information campaigns,0.0153516807926108,1,BY,public_information_campaigns,0.0153516807926108,0.01932215694307369
DOM,International travel controls,0.0122075842623392,1,DO,international_travel_controls,0.0122075842623392,0.11241345164340585
AFG,Close public transport,0.0120014731041884,1,AF,close_public_transport,0.0120014731041884,0.11851604880596353
NAM,International travel controls,0.0114437768545132,1,,international_travel_controls,0.0114437768545132,0.13502847628136908
BRB,Stay at home requirements,0.0109407276644473,1,BB,stay_at_home_requirements,0.0109407276644473,0.1499228982402085
BHS,Close public transport,0.0108045381576148,1,BS,close_public_transport,0.0108045381576148,0.15395523547717682
CHL,Stay at home requirements,0.0105969889598106,1,CL,stay_at_home_requirements,0.0105969889598106,0.16010041052240334
GHA,Close public transport,0.0102844345531757,1,GH,close_public_transport,0.0102844345531757,0.1693546093352571
NZL,Cancel public events,0.0098645337421768,1,NZ,cancel_public_events,0.0098645337421768,0.18178715069181348
KEN,Stay at home requirements,0.0091020550467166,1,KE,stay_at_home_requirements,0.0091020550467166,0.20436283444019973
SMR,Stay at home requirements,0.0090114781525146,1,SM,stay_at_home_requirements,0.0090114781525146,0.20704466060870827
JAM,Restrictions on internal movement,0.0089891345765132,1,JM,restrictions_on_internal_movement,0.0089891345765132,0.2077062154936106
SYC,Close public transport,0.0087410479837667,1,SC,close_public_transport,0.0087410479837667,0.21505163313400685
SLV,School closing,0.0086567416191244,1,SV,school_closing,0.0086567416191244,0.21754779969901752
SUR,Close public transport,0.0085791036946528,1,SR,close_public_transport,0.0085791036946528,0.21984652521120257
LBN,Restrictions on gatherings,0.0078647252537575,1,LB,restrictions_on_gatherings,0.0078647252537575,0.2409980430888052
IRN,International travel controls,0.0077938239407951,1,IR,international_travel_controls,0.0077938239407951,0.24309730911199348
SLV,Stay at home requirements,0.0076218294607956,1,SV,stay_at_home_requirements,0.0076218294607956,0.2481897700686807
KEN,International travel controls,0.00761442885322,1,KE,international_travel_controls,0.00761442885322,0.24840888934003527
EGY,International travel controls,0.0075581585110858,1,EG,international_travel_controls,0.0075581585110858,0.2500749574623301
AFG,Cancel public events,0.007493861305888,1,AF,cancel_public_events,0.007493861305888,0.25197868720467337
LKA,Close public transport,0.007489828748322,1,LK,close_public_transport,0.007489828748322,0.25209808430369945
LTU,Public information campaigns,0.0073981556160579,1,LT,public_information_campaigns,0.0073981556160579,0.2548123681971914
BRA,Close public transport,0.0073830236091335,1,BR,close_public_transport,0.0073830236091335,0.25526040091579405
TGO,Stay at home requirements,0.0073828690051347,1,TG,stay_at_home_requirements,0.0073828690051347,0.2552649784744903
ARG,Close public transport,0.0072472219466239,1,AR,close_public_transport,0.0072472219466239,0.259281254748925
NGA,School closing,0.0071336286819447,1,NG,school_closing,0.0071336286819447,0.26264455609047466
SYC,Stay at home requirements,0.0071070897875422,1,SC,stay_at_home_requirements,0.0071070897875422,0.2634303271430036
NGA,Stay at home requirements,0.0068969603348017,1,NG,stay_at_home_requirements,0.0068969603348017,0.26965189910237203
AND,Close public transport,0.0065562247592899,1,AD,close_public_transport,0.0065562247592899,0.2797404938924678
SVK,Cancel public events,0.0064224700638144,1,SK,cancel_public_events,0.0064224700638144,0.28370074054971256
PHL,Close public transport,0.0063775513195938,1,PH,close_public_transport,0.0063775513195938,0.2850307073670633
MNG,International travel controls,0.0063710094933582,1,MN,international_travel_controls,0.0063710094933582,0.28522439959887397
DOM,Stay at home requirements,0.0061917221194208,1,DO,stay_at_home_requirements,0.0061917221194208,0.29053279061122417
MLT,Close public transport,0.0061780975515107,1,MT,close_public_transport,0.0061780975515107,0.29093619065135407
URY,Restrictions on gatherings,0.0060387887745543,1,UY,restrictions_on_gatherings,0.0060387887745543,0.2950608841157977
PER,Stay at home requirements,0.0059168838423263,1,PE,stay_at_home_requirements,0.0059168838423263,0.29867027964872694
MWI,Restrictions on internal movement,0.0058715573841538,1,MW,restrictions_on_internal_movement,0.0058715573841538,0.3000123181754811
AUT,Close public transport,0.0058672284479908,1,AT,close_public_transport,0.0058672284479908,0.30014049053539715
BLR,International travel controls,0.0058216747535788,1,BY,international_travel_controls,0.0058216747535788,0.30148925713666624
JPN,Restrictions on gatherings,0.005730655062167,1,JP,restrictions_on_gatherings,0.005730655062167,0.3041841937695492
OMN,Close public transport,0.0057236685711395,1,OM,close_public_transport,0.0057236685711395,0.3043910517616306
COL,Close public transport,0.0056974698058685,1,CO,close_public_transport,0.0056974698058685,0.3051667521751344
MNG,Restrictions on gatherings,0.0056517356382219,1,MN,restrictions_on_gatherings,0.0056517356382219,0.306520862278712
TUN,Stay at home requirements,0.0055752250786631,1,TN,stay_at_home_requirements,0.0055752250786631,0.30878620845336024
SAU,Restrictions on internal movement,0.0055544640540718,1,SA,restrictions_on_internal_movement,0.0055544640540718,0.3094009067108411
SGP,Restrictions on internal movement,0.0054498589918137,1,SG,restrictions_on_internal_movement,0.0054498589918137,0.31249808282616043
NZL,Close public transport,0.005449596953724,1,NZ,close_public_transport,0.005449596953724,0.312505841323648
UKR,International travel controls,0.0054467710678732,1,UA,international_travel_controls,0.0054467710678732,0.31258951094701787
MWI,Close public transport,0.0054110835187485,1,MW,close_public_transport,0.0054110835187485,0.31364615794265355
SRB,Close public transport,0.0053394873396549,1,RS,close_public_transport,0.0053394873396549,0.31576599775776387
HUN,Stay at home requirements,0.0053257331389,1,HU,stay_at_home_requirements,0.0053257331389,0.3161732360036365
AZE,International travel controls,0.0052221119763066,1,AZ,international_travel_controls,0.0052221119763066,0.3192412805408505
TUN,Close public transport,0.005173712694257,1,TN,close_public_transport,0.005173712694257,0.32067430010153636
IDN,Close public transport,0.005132134003298,1,ID,close_public_transport,0.005132134003298,0.3219053736821506
GTM,Stay at home requirements,0.0050179152888071,1,GT,stay_at_home_requirements,0.0050179152888071,0.32528719351770347
RWA,International travel controls,0.0049803895748169,1,RW,international_travel_controls,0.0049803895748169,0.32639826541586825
LKA,School closing,0.0049776563422986,1,LK,school_closing,0.0049776563422986,0.32647919173330026
AZE,Stay at home requirements,0.0049773879523584,1,AZ,stay_at_home_requirements,0.0049773879523584,0.32648713829816467
SAU,Close public transport,0.0049628436677351,1,SA,close_public_transport,0.0049628436677351,0.32691776956951313
LUX,Close public transport,0.0049315314173227,1,LU,close_public_transport,0.0049315314173227,0.3278448714898284
NZL,School closing,0.0049071215583684,1,NZ,school_closing,0.0049071215583684,0.32856760546177544
KWT,International travel controls,0.0048795193628308,1,KW,international_travel_controls,0.0048795193628308,0.32938485903348597
PAK,International travel controls,0.0048674953820908,1,PK,international_travel_controls,0.0048674953820908,0.32974086843833766
GHA,Cancel public events,0.004852990983541,1,GH,cancel_public_events,0.004852990983541,0.33017031875159947
TUR,International travel controls,0.004847374304827,1,TR,international_travel_controls,0.004847374304827,0.3303366189552885
TTO,Stay at home requirements,0.0047465867504903,1,TT,stay_at_home_requirements,0.0047465867504903,0.33332076522196596
PAK,Close public transport,0.0047319494812614,1,PK,close_public_transport,0.0047319494812614,0.3337541496076794
URY,Close public transport,0.0047242403959242,1,UY,close_public_transport,0.0047242403959242,0.3339824023753936
JOR,International travel controls,0.0046845305538871,1,JO,international_travel_controls,0.0046845305538871,0.33515814255130355
TUN,Restrictions on internal movement,0.004600165573515,1,TN,restrictions_on_internal_movement,0.004600165573515,0.3376560446273345
GIN,School closing,0.0045942803877315,1,GN,school_closing,0.0045942803877315,0.33783029486388516
BLZ,International travel controls,0.0045666344428118,1,BZ,international_travel_controls,0.0045666344428118,0.33864884377961024
LVA,Cancel public events,0.0045304177217841,1,LV,cancel_public_events,0.0045304177217841,0.3397211586458393
NAM,Close public transport,0.0045232109930889,1,,close_public_transport,0.0045232109930889,0.33993453749675273
BGD,Cancel public events,0.0045053087508322,1,BD,cancel_public_events,0.0045053087508322,0.3404645921225155
TTO,Restrictions on gatherings,0.0045017555764276,1,TT,restrictions_on_gatherings,0.0045017555764276,0.34056979551001826
ISL,Close public transport,0.004486758936742,1,IS,close_public_transport,0.004486758936742,0.34101382023732724
MMR,Stay at home requirements,0.0044770187976266,1,MM,stay_at_home_requirements,0.0044770187976266,0.3413022090167696
MMR,Stay at home requirements,0.0044770187976266,1,MM,stay_at_home_requirements,0.0044770187976266,0.3413022090167696
GTM,International travel controls,0.0044693717286403,1,GT,international_travel_controls,0.0044693717286403,0.34152862558691727
HUN,Close public transport,0.0044601886361801,1,HU,close_public_transport,0.0044601886361801,0.34180052117226023
CZE,Stay at home requirements,0.00445756099824,1,CZ,stay_at_home_requirements,0.00445756099824,0.3418783210157105
TGO,Cancel public events,0.0044267033554718,1,TG,cancel_public_events,0.0044267033554718,0.3427919627849865
HRV,Stay at home requirements,0.0044072332837371,1,HR,stay_at_home_requirements,0.0044072332837371,0.34336843814706297
MEX,School closing,0.0043737716322612,1,MX,school_closing,0.0043737716322612,0.344359180138828
SUR,Stay at home requirements,0.0043569566669087,1,SR,stay_at_home_requirements,0.0043569566669087,0.34485704236409187
PAN,Restrictions on internal movement,0.0043393756039022,1,PA,restrictions_on_internal_movement,0.0043393756039022,0.3453775874242468
DZA,Stay at home requirements,0.0043317699494989,1,DZ,stay_at_home_requirements,0.0043317699494989,0.3456027777797686
ROU,Restrictions on internal movement,0.0043226761215555,1,RO,restrictions_on_internal_movement,0.0043226761215555,0.34587203039618236
LVA,Close public transport,0.0043152720005754,1,LV,close_public_transport,0.0043152720005754,0.346091253693406
CAN,Restrictions on gatherings,0.0042620935873168,1,CA,restrictions_on_gatherings,0.0042620935873168,0.347665775115598
CHE,Close public transport,0.0042479799623436,1,CH,close_public_transport,0.0042479799623436,0.3480836552948547
PHL,School closing,0.0042076840474891,1,PH,school_closing,0.0042076840474891,0.3492767480796413
NZL,Stay at home requirements,0.0041740310737605,1,NZ,stay_at_home_requirements,0.0041740310737605,0.3502731547944953
JOR,Workplace closing,0.004169153259078,1,JO,workplace_closing,0.004169153259078,0.3504175785040507
IRL,Stay at home requirements,0.0041677301094048,1,IE,stay_at_home_requirements,0.0041677301094048,0.35045971551999633
MWI,International travel controls,0.004166816044274,1,MW,international_travel_controls,0.004166816044274,0.350486779417573
MDA,International travel controls,0.0041110514210234,1,MD,international_travel_controls,0.0041110514210234,0.35213787407287167
IRN,Restrictions on gatherings,0.004085445036261,1,IR,restrictions_on_gatherings,0.004085445036261,0.3528960351176029
SMR,Close public transport,0.0040821758268551,1,SM,close_public_transport,0.0040821758268551,0.35299283078952703
EST,Cancel public events,0.0040349190798377,1,EE,cancel_public_events,0.0040349190798377,0.3543920218515126
IRL,Cancel public events,0.0039974905636614,1,IE,cancel_public_events,0.0039974905636614,0.3555002158894555
THA,Restrictions on gatherings,0.0039877092678866,1,TH,restrictions_on_gatherings,0.0039877092678866,0.3557898232468493
FIN,Restrictions on gatherings,0.0039849764098438,1,FI,restrictions_on_gatherings,0.0039849764098438,0.3558707384767054
AUS,Restrictions on internal movement,0.0039694137678059,1,AU,restrictions_on_internal_movement,0.0039694137678059,0.3563315215609133
HND,International travel controls,0.0039629224388882,1,HN,international_travel_controls,0.0039629224388882,0.3565237186539275
MDA,Close public transport,0.0039434887756514,1,MD,close_public_transport,0.0039434887756514,0.3570991160229542
CYP,Close public transport,0.0039293691218393,1,CY,close_public_transport,0.0039293691218393,0.3575171747057692
GIN,Close public transport,0.0039129187383655,1,GN,close_public_transport,0.0039129187383655,0.3580042422881888
TGO,International travel controls,0.0039098714946736,1,TG,international_travel_controls,0.0039098714946736,0.35809446593679983
MYS,Close public transport,0.003903121814664,1,MY,close_public_transport,0.003903121814664,0.35829431236163345
SVN,Close public transport,0.0038581218734613,1,SI,close_public_transport,0.0038581218734613,0.359626683282076
AZE,Close public transport,0.0038429749259981,1,AZ,close_public_transport,0.0038429749259981,0.36007515836435516
BLR,Cancel public events,0.0038252577122591,1,BY,cancel_public_events,0.0038252577122591,0.3605997346137057
TGO,Restrictions on internal movement,0.0038225064682342,1,TG,restrictions_on_internal_movement,0.0038225064682342,0.3606811942208929
OMN,International travel controls,0.0038204742508153,1,OM,international_travel_controls,0.0038204742508153,0.36074136468602225
EGY,Stay at home requirements,0.0037976469924592,1,EG,stay_at_home_requirements,0.0037976469924592,0.36141724057417274
SYC,Cancel public events,0.0037742018895,1,SC,cancel_public_events,0.0037742018895,0.36211140977917045
IDN,Cancel public events,0.0037704764720779,1,ID,cancel_public_events,0.0037704764720779,0.36222171298639816
TGO,Restrictions on gatherings,0.0037516457193792,1,TG,restrictions_on_gatherings,0.0037516457193792,0.362779259210576
SLE,Restrictions on internal movement,0.003743029541924,1,SL,restrictions_on_internal_movement,0.003743029541924,0.36303436941694206
PRY,Stay at home requirements,0.0036564545420245,1,PY,stay_at_home_requirements,0.0036564545420245,0.3655977063729577
DNK,Close public transport,0.0036548237020437,1,DK,close_public_transport,0.0036548237020437,0.365645992741967
JAM,Stay at home requirements,0.0036514848577108,1,JM,stay_at_home_requirements,0.0036514848577108,0.3657448501844024
JOR,Restrictions on gatherings,0.0036363489326049,1,JO,restrictions_on_gatherings,0.0036363489326049,0.3661929989136253
DOM,Cancel public events,0.0036193316796062,1,DO,cancel_public_events,0.0036193316796062,0.36669685052843415
JPN,Close public transport,0.0035852858884929,1,JP,close_public_transport,0.0035852858884929,0.3677048878909385
LUX,International travel controls,0.0035846143248847,1,LU,international_travel_controls,0.0035846143248847,0.3677247717352031
VNM,Close public transport,0.0035752258275831,1,VN,close_public_transport,0.0035752258275831,0.36800274900488356
VNM,Close public transport,0.0035752258275831,1,VN,close_public_transport,0.0035752258275831,0.36800274900488356
BOL,International travel controls,0.0035715472740297,1,BO,international_travel_controls,0.0035715472740297,0.36811166465350104
BOL,International travel controls,0.0035715472740297,1,BO,international_travel_controls,0.0035715472740297,0.36811166465350104
KOR,Stay at home requirements,0.003554856623874,1,KR,stay_at_home_requirements,0.003554856623874,0.3686058461194404
KOR,Stay at home requirements,0.003554856623874,1,KR,stay_at_home_requirements,0.003554856623874,0.3686058461194404
SEN,Close public transport,0.0035535326365709,1,SN,close_public_transport,0.0035535326365709,0.3686450471080314
ITA,Close public transport,0.0035343372839635,1,IT,close_public_transport,0.0035343372839635,0.369213388508891
SRB,International travel controls,0.0035332812147287,1,RS,international_travel_controls,0.0035332812147287,0.36924465690393365
MOZ,International travel controls,0.0034963794229797,1,MZ,international_travel_controls,0.0034963794229797,0.3703372555368324
RWA,Stay at home requirements,0.0034946728822215,1,RW,stay_at_home_requirements,0.0034946728822215,0.3703877832757584
DNK,Cancel public events,0.0034691659812851,1,DK,cancel_public_events,0.0034691659812851,0.37114299877537843
PAK,Stay at home requirements,0.0034616520212722,1,PK,stay_at_home_requirements,0.0034616520212722,0.37136547421758975
ZWE,International travel controls,0.0034602237615028,1,ZW,international_travel_controls,0.0034602237615028,0.3714077625347014
JPN,Workplace closing,0.0033735520774052,1,JP,workplace_closing,0.0033735520774052,0.3739739621436577
KAZ,Restrictions on internal movement,0.0033660447936932,1,KZ,restrictions_on_internal_movement,0.0033660447936932,0.37419623991207357
DZA,Close public transport,0.0033456901848212,1,DZ,close_public_transport,0.0033456901848212,0.3747989048985871
SEN,School closing,0.0033346679651672,1,SN,school_closing,0.0033346679651672,0.3751252538793462
ARG,Stay at home requirements,0.0033328687630559,1,AR,stay_at_home_requirements,0.0033328687630559,0.37517852516168626
